Common Name,Faculty,Number,Course Title,Schedule,Lecture Hours,Lab Hours,Weight,Description,Prerequisites,Corequisites,Restrictions,Equates,Departments,Offerings,External Course Codes

ACCT*1220,ACCT,1220,Introductory Financial Accounting,"F,W",3,0,0.50,This introductory course is designed to develop a foundational understanding of current accounting principles and their implication for published financial reports of business enterprises. It builds the base of knowledge and understanding required to succeed in more advanced study of accounting. The course approaches the subject from the point of view of the user of accounting information rather than that of a person who supplies the information. ,,,"ACCT*2220, This is a Priority Access Course. Enrolment may be restricted to particular programs or specializations. See department for more information.",,Department of Management,Also offered through Distance Education format.,

ACCT*1240,ACCT,1240,Applied Financial Accounting,W,3,0,0.50,"This course requires students to apply the fundamental principles emanating from accounting’s conceptual framework and undertake the practice of financial accounting. Students will become adept at performing the functions related to each step in the accounting cycle, up to and including the preparation of the financial statements and client reports. Students will also develop the skills necessary for assessing an organization’s system of internal controls and financial conditions. ",ACCT*1220 or ACCT*2220,,"ACCT*2240, This is a Priority Access Course. Enrolment may be restricted to particular programs or specializations. See department for more information.",,Department of Management,,

ACCT*2230,ACCT,2230,Management Accounting,"F,W",3,0,0.50,"This course emphasizes the use of accounting information to facilitate effective management decisions. Topics include cost determination, cost control and analysis, budgeting, profit-volume analysis and capital investment analysis. ",ACCT*1220 or ACCT*2220,,This is a Priority Access Course. Enrolment may be restricted to particular programs or specializations. See department for more information.,"AGEC*2230, BUS*2230",Department of Management,,

ACCT*3230,ACCT,3230,Intermediate Management Accounting,"S,W",3,0,0.50,"This course continues the managerial decision making focus of ACCT*2230. Topics include process costing, transfer pricing, the decision making process, variances and performance measurement. ",ACCT*2230,,Enrolment may be restricted to particular degrees or programs. See department for more information.,BUS*3230,Department of Management,Also offered through Distance Education format.,

ACCT*3280,ACCT,3280,Auditing I,"S,F",3,0,0.50,"Auditing I is an examination of the principles and theory underlying the practice of auditing. Concepts of materiality and audit risk are examined and discussed. Sources and techniques for gathering auditing evidence will also be examined. Modern organizations rely on information systems, technology and internal controls to manage and monitor their operations and the impact of these systems on the quality of information produced and on the scope of audits are important elements of this course. ",ACCT*3330,,,,Department of Management,,

ACCT*3330,ACCT,3330,Intermediate Financial Accounting I,"F,W",3,0,0.50,"This course presents a critical evaluation of accounting concepts, principles and practices in relation to both the traditional and current value accounting measurement models. Emphasis will be on the effect of alternative accounting practices and measurement models on income determination and asset valuation. ",ACCT*1220 or ACCT*2220,,This is a Priority Access Course. Enrolment may be restricted to particular programs or specializations. See department for more information.,BUS*3330,Department of Management,Also offered through Distance Education format.,

ACCT*3340,ACCT,3340,Intermediate Financial Accounting II,"S,F",3,0,0.50,"This course focuses on how entities account for current and non-current liabilities and equity accounts, including, income taxes, leases, pensions and other post retirement benefits, share equity and retained earnings, stock options. Additional topics may include earnings per share, restatements and statement analysis. ",ACCT*3330,,,,Department of Management,,

ACCT*3350,ACCT,3350,Taxation,"S,F",3,0,0.50,The fundamentals of the tax system as it applies to all taxpayers will be the focus of the first half of the course. The second half will develop forms of business organizations from a tax perspective. Basic tax planning techniques which attempt to maximize the cash flows and returns on investments will then be studied. The emphasis in the course is on business decision making. A review of personal financial planning and investment decisions will also be included. ,ACCT*3330,,Enrolment may be restricted to particular degrees or programs. See the department for more information.,,Department of Management,,

ACCT*4220,ACCT,4220,Advanced Financial Accounting,F,3,0,0.50,"This course is a critical evaluation of issues and problems associated with business combinations, long-term intercorporate investments, foreign operations and accounting for not-for-profit organizations. There is a strong emphasis on applying this body of knowledge through practical problems. ","(ACCT*3330 or BUS*3330), (ACCT*3340 or BUS*3340)",,Enrolment may be restricted to particular degrees or programs. See the department for more information.,BUS*4220,Department of Management,,

ACCT*4230,ACCT,4230,Advanced Management Accounting,W,3,0,0.50,This course provides advanced coverage of management accounting concepts and the application of management accounting information for managerial decision-making. This course extends the concepts covered in intermediate management accounting and also integrates pertinent situational problems from other functional areas of enterprises such as global trade and process controls. ,ACCT*3230 or BUS*3230,,Enrolment may be restricted to particular degrees or programs. See the department for more information.,BUS*4230,Department of Management,,

ACCT*4270,ACCT,4270,Auditing II,F,3,0,0.50,This course considers a number of advanced topics concerning both the auditor and audit techniques within the context of public accounting. It builds on the knowledge of the audit task derived in Auditing I - ACCT*3280 as well as the depth and breadth of knowledge gained in ACCT*3330 and ACCT*3340. ,ACCT*3280 or BUS*3280,,,BUS*4270,Department of Management,,

ACCT*4290,ACCT,4290,IT Auditing and Data Analytics,W,3,0,0.50,"This course introduces the student to the field of auditing within a computer based environment. Students will develop an enhanced understanding of information systems, information system risks, management controls, control evaluation, audit strategies, and computer assisted audit techniques. The course will also introduce data analytic techniques used to analyze structured and unstructured data. ",ACCT*3280 or BUS*4280,,,BUS*4290,Department of Management,,

ACCT*4340,ACCT,4340,Accounting Theory,W,3,0,0.50,"This course will draw on accounting research, primarily empirical research. Rather than covering specific GAAP rules, the course will focus on how investors react to GAAP rules, why financial information is important, and how its use/misuse affects investor decision making and management behaviour. The course is thus about accounting, instead of about how to apply accounting standards. ",ACCT*4220,,ACCT*4240.,,Department of Management,,

ACCT*4350,ACCT,4350,Income Taxation II,F,3,0,0.50,"An intensive study of the Canadian Income Tax Act and related statutes, this course will focus on the application to the taxation of individuals, partnerships and corporations. A strong emphasis will be placed on compliance and tax planning. ",ACCT*3350 or BUS*3350,,,BUS*4350,Department of Management,,

ACCT*4440,ACCT,4440,Integrated Cases in Accounting,W,3,0,0.50,"This course will help students develop an analytical approach to analyzing accounting problems and improve professional judgement. Students will apply previously-gained technical knowledge of accounting, tax, assurance, finance, and corporate governance to various financial reporting and advisory problems and scenarios. They will develop an enhanced understanding of the impact of user and preparer objectives on the selection of accounting policies, and accounting estimates in an environment of some uncertainty. ",ACCT*4220,,ACCT*4240.,,Department of Management,,

AGR*1110,AGR,1110,Introduction to the Agri-Food Systems,F,6,0,1.00,"This introductory course provides an overview of Canadian and global agri-food systems. Students will be introduced to many different facets of agriculture, including primary production (conventional and organic) of commodity, mid-value and high-value crops, and livestock. Students will explore the agri-food system by tracing consumer end-products back to primary production. Modern, industrial agri-food systems as well as subsistence farming will be discussed. The course incorporates an experiential learning component in which students will explore a new agri-food opportunity for Ontario by designing and assessing the value chain. ",,,"AGR*1100. AGR*1250. Restricted to students in BAH.FARE, BSC(AGR), Minor in Agriculture",,"Department of Plant Agriculture, Department of Animal Biosciences",,

